order_id,restaurant_id,rider_id,order_time,order_hour,is_weekend,is_peak_hour,user_lat,user_lon,restaurant_lat,restaurant_lon,rider_start_lat,rider_start_lon,distance_km,distance_rest_to_user_km,distance_rider_to_rest_km,food_type,prep_time_min,rider_avg_speed,has_elevator,floor,is_office_building,elevator_wait_min,weather_condition,weather_impact,traffic_index,traffic_impact,rider_experience_months,rider_rating,is_new_restaurant,restaurant_on_time_rate,restaurant_total_orders,delivery_time_min,delay_minutes,delay_reasons
ORD000001,R032,Rider025,2024-01-02 12:01:00,12,False,True,39.90163446613629,116.42055049641213,39.923253376527065,116.37499397389878,39.85202121997981,116.4341869019532,13.97,4.58,9.39,中餐,12.5,21.893376875425325,False,9,1,4.5,雾,1.25,0.79,1.4,23,3.7,0,0.81,589,95.1,39.8,天气影响(雾); 交通拥堵; 无电梯高楼层; 用餐高峰期
ORD000002,R042,Rider019,2024-01-04 22:21:00,22,False,False,39.885527402168414,116.39030701269726,39.865351725765606,116.4042464448576,39.93266459512356,116.36241431632648,10.82,2.54,8.29,火锅,31.5,18.761238504682826,True,21,1,3.7,多云,1.0,0.71,1.35,28,3.9,0,0.84,621,101.3,31.4,交通拥堵; 写字楼电梯等待
ORD000003,R014,Rider009,2024-01-05 16:24:00,16,False,False,39.87205301728121,116.47296467221776,39.89783515734865,116.39459393617881,39.91316369927242,116.40790369603127,9.34,7.29,2.05,烧烤,39.2,21.65584817621439,True,7,0,0.7,多云,1.0,0.27,1.14,35,4.5,1,0.82,66,77.0,11.2,新餐厅备餐波动
ORD000004,R047,Rider011,2024-01-04 17:17:00,17,False,True,39.952362720755396,116.42440715369098,39.88553288505282,116.39673534077251,39.99179211732871,116.37506806858579,19.73,7.79,11.94,日料,43.9,21.892899082250572,True,12,0,2.4,晴天,1.0,0.91,1.46,28,4.5,0,0.89,512,141.3,40.8,交通拥堵; 用餐高峰期
ORD000005,R008,Rider015,2024-01-06 21:28:00,21,True,False,39.86861015592854,116.4187319767376,39.91802448900446,116.40997770414891,39.90125555536833,116.39611115244051,7.74,5.54,2.21,火锅,21.6,18.318765046954884,True,30,0,3.5,晴天,1.0,0.46,1.23,18,5.0,0,0.81,1280,55.4,4.9,无
ORD000006,R001,Rider015,2024-01-03 13:51:00,13,False,True,39.91533316244881,116.39511620461155,39.91910142459034,116.40325207096485,39.90125555536833,116.39611115244051,2.89,0.81,2.07,西餐,39.5,20.721420317531773,False,17,0,8.5,晴天,1.0,0.88,1.44,18,5.0,0,0.89,1738,86.8,30.5,交通拥堵; 无电梯高楼层; 用餐高峰期
ORD000007,R006,Rider013,2024-01-02 16:52:00,16,False,False,39.859367105379185,116.40903947159103,39.897316486385044,116.41908046739768,39.92705390041307,116.44622095280053,8.34,4.3,4.04,中餐,33.5,34.50960294713008,True,2,1,0.9,小雨,1.15,0.36,1.18,13,4.9,0,0.82,1513,63.4,14.5,天气影响(小雨)
ORD000008,R004,Rider019,2024-01-05 16:35:00,16,False,False,39.85294809306093,116.34940573738076,39.90622584614064,116.3646575544136,39.93266459512356,116.36241431632648,9.0,6.06,2.94,火锅,12.7,17.58569855854176,True,23,0,3.0,多云,1.0,0.27,1.14,28,3.9,0,0.76,1942,60.7,14.3,无
ORD000009,R028,Rider023,2024-01-03 02:53:00,2,False,False,39.85419014007519,116.41303544987645,39.92038827604751,116.36245113087884,39.93964254240985,116.40191688715832,12.52,8.53,3.99,火锅,5.7,19.956235176487557,True,21,1,6.0,大雨,1.35,0.3,1.15,33,4.7,0,0.86,1899,73.2,23.8,天气影响(大雨); 写字楼电梯等待
ORD000010,R028,Rider008,2024-01-04 12:40:00,12,False,True,39.81525551876018,116.37447527754607,39.92038827604751,116.36245113087884,39.92497386056965,116.4687095565201,20.82,11.72,9.1,火锅,13.8,34.91538296415941,True,1,0,0.2,晴天,1.0,0.81,1.4,25,4.8,0,0.86,1899,68.2,18.4,交通拥堵; 用餐高峰期
ORD000011,R033,Rider022,2024-01-06 16:41:00,16,True,False,39.91029262054307,116.48819351566617,39.91675918407518,116.3855546225191,39.88685398692913,116.39370765445501,12.2,8.81,3.39,中餐,6.5,27.375211732613625,True,16,0,4.0,多云,1.0,0.24,1.12,34,4.0,0,0.82,637,38.9,1.7,无
ORD000012,R034,Rider018,2024-01-06 20:59:00,20,True,False,39.88357131720268,116.3984297936497,39.86870203135637,116.42224986962574,39.88619738114083,116.43231399729389,4.75,2.62,2.12,日料,33.0,28.505179326073854,False,15,0,7.5,多云,1.0,0.35,1.18,9,3.7,1,0.71,96,56.6,6.1,无电梯高楼层; 新餐厅备餐波动
ORD000013,R025,Rider028,2024-01-03 10:45:00,10,False,False,39.90700208652453,116.45387513210433,39.92272922536534,116.4439121239094,39.8468364452307,116.39973868704347,11.18,1.94,9.23,烧烤,15.6,21.446664219284813,True,20,1,4.0,雾,1.25,0.25,1.13,14,4.0,1,0.83,93,69.3,18.4,天气影响(雾); 写字楼电梯等待; 新餐厅备餐波动
ORD000014,R011,Rider019,2024-01-01 13:36:00,13,False,True,39.90530886753906,116.44138867025617,39.85697534139168,116.42653858829674,39.93266459512356,116.36241431632648,15.55,5.51,10.04,快餐,13.9,19.90934345614275,True,27,0,4.8,晴天,1.0,0.99,1.49,28,3.9,0,0.84,1585,95.6,30.1,交通拥堵; 用餐高峰期
ORD000015,R011,Rider028,2024-01-07 12:22:00,12,True,True,39.87808412910354,116.44931768247008,39.85697534139168,116.42653858829674,39.8468364452307,116.39973868704347,5.6,3.05,2.55,快餐,14.6,21.770606507501,True,13,1,2.5,大雨,1.35,0.9,1.45,14,4.0,0,0.84,1585,70.6,38.1,天气影响(大雨); 交通拥堵; 写字楼电梯等待; 用餐高峰期
ORD000016,R035,Rider009,2024-01-06 13:44:00,13,True,True,39.89419813941605,116.40666786063913,39.868196047868096,116.44344141332652,39.91316369927242,116.40790369603127,10.12,4.27,5.85,快餐,40.4,22.371177722249456,True,13,0,3.1,晴天,1.0,0.84,1.42,35,4.5,1,0.83,67,102.2,31.6,交通拥堵; 用餐高峰期; 新餐厅备餐波动
ORD000017,R023,Rider022,2024-01-04 20:46:00,20,False,False,39.92642417864014,116.4109832272502,39.89349764922696,116.42408365395602,39.88685398692913,116.39370765445501,6.52,3.82,2.7,日料,24.8,27.0355562149052,True,9,1,1.4,晴天,1.0,0.43,1.22,34,4.0,0,0.94,1116,54.4,13.8,无
ORD000018,R011,Rider007,2024-01-02 06:12:00,6,False,False,39.860133523384825,116.43285172673754,39.85697534139168,116.42653858829674,39.8812319420477,116.34772102698165,7.91,0.64,7.26,快餐,11.5,35.37049892111172,False,3,0,1.5,多云,1.0,0.3,1.15,20,3.7,0,0.84,1585,33.9,7.5,无
ORD000019,R003,Rider010,2024-01-04 18:16:00,18,False,True,39.901578095728766,116.48666767225599,39.90486665479836,116.3945662125919,39.876127462298896,116.36871555781596,11.77,7.88,3.88,烧烤,31.3,21.2530673593157,True,27,0,3.8,晴天,1.0,0.95,1.48,3,4.9,0,0.76,799,98.0,29.7,交通拥堵; 用餐高峰期
ORD000020,R035,Rider016,2024-01-03 15:46:00,15,False,False,39.9305612539549,116.39637958838127,39.868196047868096,116.44344141332652,39.917836887942364,116.40394345972673,14.47,8.01,6.46,快餐,40.4,28.67129052116594,True,29,0,5.0,多云,1.0,0.34,1.17,13,3.6,1,0.83,67,82.6,7.0,新餐厅备餐波动
ORD000021,R002,Rider022,2024-01-03 09:52:00,9,False,False,39.94877286778676,116.44353796144364,39.95157638446523,116.43042304187458,39.88685398692913,116.39370765445501,9.01,1.16,7.84,日料,14.4,33.332618341127514,True,11,1,2.3,晴天,1.0,0.71,1.36,34,4.0,1,0.82,47,45.0,12.1,交通拥堵; 写字楼电梯等待; 新餐厅备餐波动
ORD000022,R036,Rider009,2024-01-03 17:58:00,17,False,True,39.91644057592072,116.44958665248173,39.91483258755359,116.35099062234642,39.91316369927242,116.40790369603127,13.3,8.43,4.87,日料,23.5,21.51602392554875,False,4,0,2.0,多云,1.0,0.85,1.42,35,4.5,0,0.94,1695,92.0,29.3,交通拥堵; 用餐高峰期
ORD000023,R006,Rider030,2024-01-05 16:40:00,16,False,False,39.93404403947478,116.34239856123011,39.897316486385044,116.41908046739768,39.911325137030445,116.40882541839402,9.51,7.72,1.79,中餐,31.0,31.37600313253359,True,14,1,2.2,多云,1.0,0.27,1.14,22,3.9,0,0.82,1513,62.2,10.7,写字楼电梯等待
ORD000024,R018,Rider014,2024-01-05 16:48:00,16,False,False,39.98402669959136,116.5317967422402,39.93680181069118,116.43754960642107,39.93387852066118,116.46646634501718,12.1,9.61,2.49,日料,14.9,17.935233251007332,True,9,0,1.1,多云,1.0,0.27,1.14,10,4.9,1,0.74,11,62.3,5.8,新餐厅备餐波动
ORD000025,R036,Rider026,2024-01-04 17:32:00,17,False,True,39.941889526059896,116.4477626118419,39.91483258755359,116.35099062234642,39.86014992380612,116.42690693099692,17.69,8.8,8.89,日料,26.7,25.105411724754028,True,24,0,2.7,晴天,1.0,0.91,1.46,25,4.8,0,0.94,1695,99.2,27.4,交通拥堵; 用餐高峰期
ORD000026,R027,Rider029,2024-01-02 20:00:00,20,False,False,39.95363246480028,116.40204444293737,39.94449504636891,116.38536357050157,39.9827701186798,116.39951113316586,6.17,1.75,4.42,西餐,18.0,23.24132433649628,True,27,0,4.8,晴天,1.0,0.32,1.16,30,3.7,0,0.82,787,53.3,14.5,无
