referrer_id,referred_customer_id,referral_date,referral_channel,is_converted,converted_date,referred_first_spend,referred_frequency,referred_still_active,referrer_loyalty_tendency,referrer_segment,referrer_price_sensitivity,referrer_promotion_responsiveness
CUST_000001,CUST_000049,2025-04-12,Social Media,0,,0.0,0,False,0.7031745516033406,Senior,0.9200092164552484,0.9399142854532827
CUST_000002,CUST_000490,2025-02-07,Community Forum,0,,0.0,0,False,0.5203374445674649,Senior,0.29655499919735395,0.4733691945728094
CUST_000006,CUST_000224,2024-09-29,Social Media,0,,0.0,0,False,0.5037657512462608,Senior,0.611205739202266,0.5277620876934614
CUST_000006,CUST_000362,2023-09-27,Social Media,0,,0.0,0,False,0.5037657512462608,Senior,0.611205739202266,0.5277620876934614
CUST_000011,CUST_000465,2025-04-05,Word of Mouth,1,2025-04-15,488.5405342366073,6,1,0.5765737251334517,High Net Worth,0.08580144442577511,0.6513919545010991
CUST_000015,CUST_000056,2024-05-09,Word of Mouth,0,,0.0,0,False,0.8401386759350017,Student,0.5060840384894199,0.5664026693632754
CUST_000015,CUST_000340,2025-06-08,Referral Link,0,,0.0,0,False,0.8401386759350017,Student,0.5060840384894199,0.5664026693632754
CUST_000015,CUST_000081,2025-05-24,Word of Mouth,1,2025-05-27,303.4271111407618,2,1,0.8401386759350017,Student,0.5060840384894199,0.5664026693632754
CUST_000017,CUST_000387,2025-12-03,Word of Mouth,0,,0.0,0,False,0.8490969581800873,High Net Worth,0.5126679312485971,0.8236242558333113
CUST_000019,CUST_000273,2024-07-02,Referral Link,0,,0.0,0,False,0.6819118597889053,Family,0.31393341666372326,0.7889693180897402
CUST_000023,CUST_000357,2023-11-26,Community Forum,1,2023-12-19,484.8883621416855,4,1,0.6917594436451487,Family,0.45575844372043905,0.2767649463492652
CUST_000024,CUST_000229,2024-09-27,Social Media,0,,0.0,0,False,0.6723896048474984,Student,0.29795606102927125,0.44036894767673557
CUST_000024,CUST_000113,2025-01-26,Word of Mouth,1,2025-02-11,96.85994669140584,1,1,0.6723896048474984,Student,0.29795606102927125,0.44036894767673557
CUST_000028,CUST_000250,2023-08-05,Word of Mouth,0,,0.0,0,False,0.6033002883680049,Family,0.12649685666273983,0.7606711337171326
CUST_000028,CUST_000008,2024-10-29,Review/Rating,1,2024-11-04,330.6191422321043,4,1,0.6033002883680049,Family,0.12649685666273983,0.7606711337171326
CUST_000033,CUST_000267,2023-06-11,Referral Link,0,,0.0,0,False,0.6095701512369505,Family,0.17367247078030398,0.6728971749557214
CUST_000033,CUST_000160,2023-12-09,Word of Mouth,1,2023-12-29,136.5351943488293,3,1,0.6095701512369505,Family,0.17367247078030398,0.6728971749557214
CUST_000035,CUST_000460,2024-05-12,Review/Rating,1,2024-05-25,67.38127410097428,6,1,0.8692913414666031,Family,0.5446957759720279,0.5699004462775896
CUST_000035,CUST_000472,2025-01-26,Word of Mouth,1,2025-02-10,278.3005614509118,5,1,0.8692913414666031,Family,0.5446957759720279,0.5699004462775896
CUST_000035,CUST_000143,2024-11-30,Word of Mouth,1,2024-12-17,381.6145108253058,3,1,0.8692913414666031,Family,0.5446957759720279,0.5699004462775896
CUST_000041,CUST_000115,2024-04-02,Review/Rating,1,2024-04-04,325.8937720434097,4,1,0.9277895561654708,Family,0.6516835140245575,0.8882778190723417
CUST_000046,CUST_000382,2023-03-26,Social Media,1,2023-04-11,160.96770681688935,5,1,0.551182229346772,Young Professional,0.8127859171318603,0.5639038656297772
CUST_000052,CUST_000147,2025-07-28,Referral Link,1,2025-08-08,362.1297006405696,6,0,0.8075014712540832,Family,0.2174875572112766,0.5073092946054317
CUST_000052,CUST_000286,2024-07-28,Word of Mouth,0,,0.0,0,False,0.8075014712540832,Family,0.2174875572112766,0.5073092946054317
CUST_000055,CUST_000408,2023-09-15,Referral Link,1,2023-10-06,57.37449258131618,7,0,0.8351209131140997,Student,0.5118219363462427,0.32476041603874645
CUST_000055,CUST_000342,2025-10-20,Word of Mouth,1,2025-10-29,400.0087725380902,6,0,0.8351209131140997,Student,0.5118219363462427,0.32476041603874645
CUST_000058,CUST_000348,2024-01-16,Word of Mouth,0,,0.0,0,False,0.8336399060625599,Young Professional,0.6536705271303919,0.4762078400569624
CUST_000058,CUST_000216,2025-08-22,Community Forum,1,2025-09-19,66.60350340837459,1,0,0.8336399060625599,Young Professional,0.6536705271303919,0.4762078400569624
CUST_000060,CUST_000142,2025-12-02,Word of Mouth,0,,0.0,0,False,0.5280741854585487,Young Professional,0.6844425924935569,0.4993308458394682
CUST_000060,CUST_000294,2023-05-05,Word of Mouth,0,,0.0,0,False,0.5280741854585487,Young Professional,0.6844425924935569,0.4993308458394682
CUST_000060,CUST_000043,2024-07-13,Word of Mouth,1,2024-07-18,262.9727678274555,1,1,0.5280741854585487,Young Professional,0.6844425924935569,0.4993308458394682
CUST_000063,CUST_000205,2023-11-20,Referral Link,0,,0.0,0,False,0.8597940534704225,Young Professional,0.5550105353963177,0.47102014358679223
CUST_000063,CUST_000359,2023-10-11,Social Media,1,2023-10-15,208.1505138058252,3,1,0.8597940534704225,Young Professional,0.5550105353963177,0.47102014358679223
CUST_000063,CUST_000057,2024-05-07,Word of Mouth,1,2024-05-26,407.62520578817373,1,0,0.8597940534704225,Young Professional,0.5550105353963177,0.47102014358679223
CUST_000064,CUST_000396,2024-01-01,Social Media,0,,0.0,0,False,0.793655766710111,Student,0.8217040041484396,0.6792122789504154
CUST_000064,CUST_000475,2024-12-14,Social Media,1,2024-12-18,477.405184439213,3,1,0.793655766710111,Student,0.8217040041484396,0.6792122789504154
CUST_000067,CUST_000083,2024-06-21,Referral Link,1,2024-07-07,308.94809162365067,3,0,0.6500262334725758,Family,0.26136880092009346,0.4221528830516985
CUST_000067,CUST_000481,2024-05-27,Word of Mouth,1,2024-05-28,80.65432647796789,7,1,0.6500262334725758,Family,0.26136880092009346,0.4221528830516985
CUST_000069,CUST_000318,2023-08-15,Social Media,0,,0.0,0,False,0.5750792035297724,Senior,0.3073364888989973,0.5504910113697399
CUST_000073,CUST_000097,2023-09-16,Word of Mouth,1,2023-10-08,481.9568013811022,2,0,0.5348188517183244,High Net Worth,0.3839378261435945,0.7262193087822094
CUST_000076,CUST_000423,2024-12-22,Referral Link,0,,0.0,0,False,0.6252211123001634,Senior,0.4226397448768634,0.8095981714171812
CUST_000076,CUST_000473,2023-04-17,Word of Mouth,0,,0.0,0,False,0.6252211123001634,Senior,0.4226397448768634,0.8095981714171812
CUST_000081,CUST_000357,2024-06-20,Word of Mouth,1,2024-07-17,115.369217489994,5,1,0.6761654491525263,Senior,0.5529455067776378,0.7997507028436294
CUST_000081,CUST_000155,2023-01-06,Review/Rating,1,2023-01-18,149.06455503067696,3,1,0.6761654491525263,Senior,0.5529455067776378,0.7997507028436294
CUST_000083,CUST_000332,2023-10-23,Word of Mouth,1,2023-10-30,321.173451423007,1,0,0.8947707190912407,Young Professional,0.550981420302003,0.6446800428013839
CUST_000083,CUST_000094,2025-03-05,Word of Mouth,1,2025-03-11,234.68465382954753,2,1,0.8947707190912407,Young Professional,0.550981420302003,0.6446800428013839
CUST_000083,CUST_000258,2024-07-21,Word of Mouth,1,2024-08-19,403.25286764577083,3,0,0.8947707190912407,Young Professional,0.550981420302003,0.6446800428013839
CUST_000086,CUST_000051,2024-09-08,Social Media,1,2024-09-15,171.137868488867,4,1,0.519609770458547,Young Professional,0.47257639769643084,0.7777063469940407
CUST_000086,CUST_000280,2024-09-21,Social Media,0,,0.0,0,False,0.519609770458547,Young Professional,0.47257639769643084,0.7777063469940407
CUST_000086,CUST_000464,2024-07-01,Referral Link,1,2024-07-22,69.16048690690008,1,1,0.519609770458547,Young Professional,0.47257639769643084,0.7777063469940407
CUST_000087,CUST_000156,2025-10-07,Referral Link,0,,0.0,0,False,0.542496857464231,Young Professional,0.34955716868668585,0.8718192339076006
CUST_000087,CUST_000249,2025-11-03,Word of Mouth,1,2025-11-30,261.13042021940305,5,0,0.542496857464231,Young Professional,0.34955716868668585,0.8718192339076006
CUST_000088,CUST_000493,2025-10-26,Social Media,1,2025-10-28,438.45068259417275,5,1,0.5941224751137932,Student,0.3033502769772331,0.588588334296051
CUST_000088,CUST_000096,2024-12-22,Word of Mouth,0,,0.0,0,False,0.5941224751137932,Student,0.3033502769772331,0.588588334296051
CUST_000089,CUST_000232,2025-02-21,Word of Mouth,0,,0.0,0,False,0.7365338911495612,Young Professional,0.8317295095988315,0.151233653480123
CUST_000089,CUST_000052,2024-12-05,Social Media,1,2024-12-14,267.474194543762,6,1,0.7365338911495612,Young Professional,0.8317295095988315,0.151233653480123
CUST_000091,CUST_000479,2023-04-28,Word of Mouth,1,2023-05-09,306.1450266466346,7,1,0.6272535338429205,Young Professional,0.08000105389196306,0.42157486879305983
CUST_000091,CUST_000142,2025-12-08,Referral Link,0,,0.0,0,False,0.6272535338429205,Young Professional,0.08000105389196306,0.42157486879305983
CUST_000091,CUST_000276,2025-12-27,Referral Link,0,,0.0,0,False,0.6272535338429205,Young Professional,0.08000105389196306,0.42157486879305983
CUST_000091,CUST_000018,2023-05-07,Social Media,1,2023-05-13,418.3599106917476,4,1,0.6272535338429205,Young Professional,0.08000105389196306,0.42157486879305983
CUST_000091,CUST_000202,2025-08-21,Social Media,0,,0.0,0,False,0.6272535338429205,Young Professional,0.08000105389196306,0.42157486879305983
CUST_000091,CUST_000117,2025-02-23,Community Forum,0,,0.0,0,False,0.6272535338429205,Young Professional,0.08000105389196306,0.42157486879305983
CUST_000094,CUST_000363,2025-06-15,Word of Mouth,1,2025-07-14,289.84288572154486,3,1,0.9478110511642187,Student,0.2698997358245522,0.4266740628198657
CUST_000094,CUST_000007,2024-08-21,Social Media,0,,0.0,0,False,0.9478110511642187,Student,0.2698997358245522,0.4266740628198657
CUST_000094,CUST_000282,2024-07-22,Referral Link,0,,0.0,0,False,0.9478110511642187,Student,0.2698997358245522,0.4266740628198657
CUST_000096,CUST_000214,2023-02-06,Social Media,1,2023-02-12,111.32048186736634,3,1,0.6820270705716799,Student,0.37030266860446626,0.7017430729538043
CUST_000096,CUST_000010,2025-05-07,Review/Rating,0,,0.0,0,False,0.6820270705716799,Student,0.37030266860446626,0.7017430729538043
CUST_000096,CUST_000461,2025-03-31,Referral Link,1,2025-04-18,223.09701526864535,1,0,0.6820270705716799,Student,0.37030266860446626,0.7017430729538043
CUST_000096,CUST_000163,2024-08-02,Review/Rating,1,2024-08-25,153.48696530352626,2,1,0.6820270705716799,Student,0.37030266860446626,0.7017430729538043
CUST_000099,CUST_000098,2023-08-08,Referral Link,0,,0.0,0,False,0.7094824614559984,Young Professional,0.25552939003301306,0.6880278439870472
CUST_000101,CUST_000120,2025-02-23,Word of Mouth,0,,0.0,0,False,0.6244472705791674,High Net Worth,0.2397038458415632,0.6592632765011047
CUST_000105,CUST_000322,2024-08-12,Community Forum,1,2024-08-14,208.73604615337132,1,1,0.7902934233989536,Young Professional,0.3735609283404472,0.6440568393224116
CUST_000105,CUST_000206,2025-04-24,Word of Mouth,1,2025-05-21,175.1870823009475,4,1,0.7902934233989536,Young Professional,0.3735609283404472,0.6440568393224116
CUST_000105,CUST_000341,2025-07-15,Review/Rating,1,2025-07-20,458.1309247949562,2,1,0.7902934233989536,Young Professional,0.3735609283404472,0.6440568393224116
CUST_000106,CUST_000058,2023-07-26,Review/Rating,0,,0.0,0,False,0.5993359364676234,Young Professional,0.6203679822450615,0.7667632929177018
CUST_000106,CUST_000030,2024-09-30,Word of Mouth,0,,0.0,0,False,0.5993359364676234,Young Professional,0.6203679822450615,0.7667632929177018
CUST_000112,CUST_000344,2024-02-06,Social Media,0,,0.0,0,False,0.5863067480612328,Family,0.16776914791901532,0.783832084181025
CUST_000113,CUST_000073,2023-02-25,Word of Mouth,1,2023-03-03,335.3581879012539,3,1,0.7077202896851178,Family,0.41119733308068473,0.38627525312902344
CUST_000115,CUST_000492,2025-01-19,Referral Link,1,2025-01-25,433.3931544353956,1,0,0.8560966874441007,Family,0.22533800132845413,0.6884076196652514
CUST_000115,CUST_000262,2024-01-14,Word of Mouth,1,2024-02-02,139.36801890073122,5,1,0.8560966874441007,Family,0.22533800132845413,0.6884076196652514
