customer_id,frequency,total_spend,avg_order_value,last_purchase,first_purchase,return_rate,discount_usage,price_sensitivity_x,promotion_responsiveness_x,avg_discount_pct_x,max_discount_pct,promotion_purchase_rate_x,promotion_purchase_count,avg_base_price,total_base_value,total_discount_amount,recency_days,tenure_days,repurchase_rate,deal_hunter_score_x,savings_consciousness_x,promo_sensitivity_x,price_value_ratio,Beauty,Clothing,Electronics,Food,Home,Sports,Bundle Deal,Coupon,Direct Discount,Membership Discount,Seasonal Sale,age,gender,segment,channel,region,loyalty_tendency,price_sensitivity_y,promotion_responsiveness_y,avg_nps,avg_ease_of_use,avg_product_quality,avg_customer_service,nps_surveys,nps_mode_category,complaint_count,unresolved_complaints,avg_resolution_time,complaint_rate,unresolved_rate,total_interactions,avg_duration,App Visit,Click-Through,Email Open,Social Media,Support Call,nps_category_numeric,cluster,pca_x,pca_y,loyalty_level,spend_growth_rate,price_sensitivity,promotion_responsiveness,avg_discount_pct_y,promotion_purchase_rate_y,deal_hunter_score_y,savings_consciousness_y,promo_sensitivity_y,only_promo_buyer,high_price_sensitivity,low_price_sensitivity,dynamic_churn_threshold,active_categories,primary_category,threshold_group,repurchase_probability,avg_inter_purchase_days,repurchase_score,nps_score,complaint_score,engagement_score,value_score,loyalty_index,loyalty_tier
CUST_000000,21,2814.08,134.0038095238095,2025-12-16,2023-04-09,0.047619047619047616,0.38095238095238093,0.33114245140114085,0.6374857286192506,0.1096,0.3944,0.38095238095238093,8,140.75238095238097,2955.8,141.71,15,982,1,0.1261495052956727,0.04792681277056277,0.24285170614066687,1.050282664544166,5,4,3,3,2,4,1.0,1.0,3.0,3.0,0.0,56,Female,High Net Worth,Online,East,0.40725847818088706,0.33114245140114085,0.6374857286192506,7.0,3.5,3.5,3.5,2,passive,1.0,0.0,12.0,1.0,0.0,6.0,37.666666666666664,1.0,1.0,2.0,1.0,1.0,0,0,-1.164019198097646,1.0561213691525564,低,-0.91275602200749,0.33114245140114085,0.6374857286192506,0,0,0.0,0.0,0.0,0,0,0,489.87898021966913,6,Beauty,Long Cycle,0.7553481279587231,49.1,0.683712416588145,0.5847142857142857,0.7685714285714286,0.37537633227117895,0.43397470238870584,58.79806658897119,中忠诚度
CUST_000001,33,4435.29,134.40272727272728,2025-11-04,2023-01-13,0.0,0.3333333333333333,0.9200092164552484,0.9399142854532827,0.10926666666666666,0.697,0.3333333333333333,11,146.71666666666667,4841.65,406.35,57,1026,1,0.3066697388184161,0.08391066874541833,0.3133047618177609,1.0915384996911368,8,4,10,3,4,4,3.0,4.0,1.0,1.0,2.0,69,Male,Senior,Online,North,0.7031745516033406,0.9200092164552484,0.9399142854532827,10.0,5.0,5.0,5.0,1,promoter,2.0,0.0,7.0,2.0,0.0,9.0,91.55555555555556,1.0,1.0,5.0,0.0,2.0,1,2,4.362147397672734,0.45065635168964874,高,-0.812584362994497,0.9200092164552484,0.9399142854532827,0,0,0.0,0.0,0.0,0,1,0,438.11544047013047,6,Beauty,Medium Cycle,0.3065559467969057,32.0625,0.6697311905542849,0.9999999999999999,0.7799999999999999,0.4032570291420967,0.5628402763540146,71.28339529907021,高忠诚度
CUST_000002,22,2169.56,98.61636363636363,2025-12-19,2023-01-13,0.045454545454545456,0.13636363636363635,0.29655499919735395,0.4733691945728094,0.03946363636363636,0.4608,0.13636363636363635,3,101.50454545454545,2233.1,63.55,12,1071,1,0.04043931807236645,0.028445459021529923,0.064550344714474,1.0291826821152374,6,4,4,3,2,3,0.0,0.0,2.0,0.0,1.0,46,Female,Senior,Store,Central,0.5203374445674649,0.29655499919735395,0.4733691945728094,9.0,5.0,4.0,5.0,1,promoter,2.0,1.0,2.0,2.0,0.5,7.0,88.85714285714286,1.0,2.0,3.0,1.0,0.0,1,1,-1.2376806348769842,-2.5970423620319676,中,-0.3367593712212818,0.29655499919735395,0.4733691945728094,0,0,0.0,0.0,0.0,0,0,1,489.87898021966913,6,Beauty,Long Cycle,0.7854608246822026,51.0,0.725552456791678,0.8835714285714286,0.6514285714285715,0.41161238168490116,0.4316138677515361,66.27568173101118,中忠诚度
CUST_000003,21,2578.68,122.7942857142857,2025-12-14,2023-03-06,0.047619047619047616,0.47619047619047616,0.3739237947029612,0.6660063226994886,0.12856666666666666,0.5641,0.47619047619047616,10,136.3709523809524,2863.79,285.12,17,1014,1,0.17805894985855295,0.09952561967892935,0.3171458679521374,1.1104738860517511,1,6,3,2,5,4,2.0,2.0,5.0,0.0,1.0,32,Male,High Net Worth,Store,East,0.17209251620965302,0.3739237947029612,0.6660063226994886,6.666666666666667,3.6666666666666665,3.0,2.3333333333333335,3,passive,3.0,1.0,12.0,3.0,0.3333333333333333,4.0,348.75,1.0,2.0,0.0,1.0,0.0,0,0,-0.5446543521339415,4.27080401043058,低,0.6414510975986809,0.3739237947029612,0.6660063226994886,0,0,0.0,0.0,0.0,0,0,0,378.3554667547274,6,Beauty,Short Cycle,0.7527933082630596,50.7,0.6910586915252053,0.5065714285714285,0.4819047619047619,0.5073263927040984,0.46599913229716566,55.22450076363226,中忠诚度
CUST_000004,10,1683.3400000000001,168.334,2025-12-11,2023-01-03,0.0,0.1,0.15999889561214004,0.44532330716044344,0.03654,0.3654,0.1,1,170.16400000000002,1701.64,18.3,20,1073,1,0.015999889561214006,0.010748014847530893,0.044532330716044344,1.0108111961222261,1,2,4,1,2,0,0.0,0.0,0.0,1.0,0.0,60,Male,Student,Online,East,0.2904109832941283,0.15999889561214004,0.44532330716044344,8.5,4.5,4.5,4.0,2,passive,2.0,1.0,14.0,2.0,0.5,7.0,0.0,0.0,0.0,5.0,0.0,2.0,0,1,-3.623820336640687,-3.3749384440168515,中,6.262032085561498,0.15999889561214004,0.44532330716044344,0,0,0.0,0.0,0.0,0,0,1,438.11544047013047,5,Beauty,Medium Cycle,0.9778818327431942,119.22222222222223,0.665504373598571,0.8083571428571428,0.48,0.20736842105263156,0.6075350356944493,59.597611630591906,中忠诚度
CUST_000005,25,2888.95,115.55799999999999,2025-12-18,2023-01-09,0.08,0.52,0.3618485575991256,0.9097812125447142,0.154236,0.4918,0.52,13,130.1064,3252.66,363.73,13,1074,1,0.18816124995154532,0.11179102917944715,0.47308623052325144,1.125799529281462,3,6,6,3,4,3,2.0,2.0,4.0,3.0,2.0,25,Female,Young Professional,Hybrid,North,0.557115456904987,0.3618485575991256,0.9097812125447142,8.0,4.0,4.0,5.0,1,passive,1.0,0.0,1.0,1.0,0.0,9.0,122.44444444444444,1.0,1.0,0.0,5.0,2.0,0,0,2.9948916051615706,3.819713545223798,低,-0.6366915320927944,0.3618485575991256,0.9097812125447142,0,0,0.0,0.0,0.0,0,0,0,378.3554667547274,6,Beauty,Short Cycle,0.7401369595312515,44.75,0.7399705667654757,0.7581428571428571,0.9257142857142857,0.41615426876167455,0.37740823878991225,66.94184033052379,中忠诚度
CUST_000006,20,2366.93,118.34649999999999,2025-12-15,2023-01-15,0.0,0.35,0.611205739202266,0.5277620876934614,0.09607,0.6036,0.35,7,129.357,2587.14,220.22,16,1065,1,0.21392200872079306,0.08508813279034365,0.1847167306927115,1.092943775796006,1,7,4,4,3,1,2.0,2.0,0.0,1.0,2.0,38,Female,Senior,Online,Central,0.5037657512462608,0.611205739202266,0.5277620876934614,9.5,5.0,5.0,4.5,2,promoter,1.0,0.0,1.0,1.0,0.0,7.0,194.0,1.0,3.0,1.0,1.0,1.0,1,0,1.677579528446836,0.8942464896002496,低,0.4415342465753424,0.611205739202266,0.5277620876934614,0,0,0.0,0.0,0.0,0,0,0,378.3554667547274,6,Beauty,Short Cycle,0.7916366282787214,56.05263157894737,0.7065977024985098,0.9467857142857141,0.9257142857142857,0.5212276515924467,0.4951242761997391,73.99856713469521,高忠诚度
CUST_000007,24,3031.71,126.32125,2025-11-28,2023-01-08,0.041666666666666664,0.25,0.7867572177039411,0.6115696216618407,0.10280416666666668,0.6792,0.25,6,135.4475,3250.74,219.05,33,1055,1,0.19668930442598528,0.06736393438589802,0.15289240541546018,1.0721614802354917,3,7,5,3,5,1,1.0,1.0,2.0,1.0,1.0,56,Female,Senior,Store,West,0.39194828305873863,0.7867572177039411,0.6115696216618407,8.666666666666666,4.0,4.333333333333333,4.666666666666667,3,promoter,1.0,0.0,10.0,1.0,0.0,6.0,37.5,0.0,1.0,3.0,1.0,1.0,1,0,0.5242428127419815,0.04009021806423343,低,13.03789279112754,0.7867572177039411,0.6115696216618407,0,0,0.0,0.0,0.0,0,1,0,378.3554667547274,6,Beauty,Short Cycle,0.6029326201422971,45.869565217391305,0.6847777982439305,0.8090952380952381,0.7971428571428572,0.30364007618210453,0.5612385372015259,65.70103695759617,中忠诚度
CUST_000008,20,1464.23,73.2115,2025-12-11,2023-01-25,0.15,0.4,0.5721340816288807,0.713013181780703,0.11578999999999999,0.5632,0.4,8,80.179,1603.58,139.34,20,1051,1,0.22885363265155229,0.08683892358124869,0.28520527271228124,1.0950199053556673,9,4,3,3,1,0,0.0,1.0,2.0,2.0,3.0,36,Female,Family,Store,Central,0.5129189862442906,0.5721340816288807,0.713013181780703,6.666666666666667,4.0,3.6666666666666665,3.6666666666666665,3,passive,2.0,1.0,7.0,2.0,0.5,3.0,163.33333333333334,0.0,2.0,1.0,0.0,0.0,0,0,-0.8594190553862653,3.789489251713817,低,2.442184776292853,0.5721340816288807,0.713013181780703,0,0,0.0,0.0,0.0,0,0,0,489.87898021966913,5,Beauty,Long Cycle,0.7630253737060103,55.31578947368421,0.6939155107317027,0.6012380952380952,0.58,0.3580221953631469,0.30740072288153797,54.529761476573725,中忠诚度
CUST_000009,20,2865.02,143.251,2025-11-25,2023-01-28,0.1,0.4,0.08104673210248536,0.6827144177751686,0.134195,0.5121,0.4,8,159.05450000000002,3181.09,316.07,36,1032,1,0.03241869284099415,0.09932780028220446,0.27308576711006743,1.110242843481478,1,10,6,1,2,0,1.0,1.0,4.0,2.0,0.0,40,Other,Student,Hybrid,South,0.324469764121065,0.08104673210248536,0.6827144177751686,7.0,3.0,3.6666666666666665,3.6666666666666665,3,promoter,0.0,0.0,0.0,0.0,0.0,7.0,105.42857142857143,1.0,3.0,1.0,2.0,0.0,1,0,0.08016641915492581,2.1635635955262416,低,-0.18564938116872937,0.08104673210248536,0.6827144177751686,0,0,0.0,0.0,0.0,0,0,1,378.3554667547274,5,Beauty,Short Cycle,0.644820379148892,54.31578947368421,0.653190562364707,0.571047619047619,1.0,0.4542458442557332,0.44825944099423076,62.40948662588114,中忠诚度
