feature,rf_importance,gb_importance,lr_importance,normalized_rf,normalized_gb,ensemble_score,cumulative_score
frequency,0.3746450174895334,0.40270508509318065,4.80593796926695e-05,0.3746450174895334,0.4027050850931807,0.31094965290902415,0.31094965290902415
total_base_value_y,0.03455608941132988,0.05744954947446639,0.2173158684718542,0.03455608941132988,0.0574495494744664,0.08026542924868935,0.3912150821577135
total_base_value_x,0.03889467261611371,0.04394618521606771,0.2173158684732737,0.03889467261611371,0.04394618521606772,0.07659951682752732,0.4678145989852408
avg_nps,0.058862746428806796,0.09613069297339626,1.336129780787205e-05,0.058862746428806796,0.09613069297339627,0.0620000480204428,0.5298146470056836
total_spend,0.07182977520172502,0.0036220872243547786,0.14478039922472483,0.07182977520172502,0.003622087224354779,0.05913682481537689,0.5889514718210604
avg_discount_pct_y,0.03533755130804648,0.059015671902465976,5.525094194558976e-07,0.03533755130804648,0.05901567190246598,0.03774139978608888,0.6266928716071494
Electronics_spend,0.002634835513147668,0.002033507488575024,0.16594533850948745,0.002634835513147668,0.0020335074885750246,0.035056404902586574,0.6617492765097359
total_interactions,0.034296201819815554,0.053125552937854835,4.657868561351518e-05,0.034296201819815554,0.05312555293785484,0.034978017640190866,0.6967272941499267
promotion_purchase_rate_y,0.03320689048465162,0.05142819399819037,3.497646253225637e-05,0.03320689048465162,0.051428193998190375,0.03386102908564325,0.73058832323557
promotion_purchase_rate_x,0.03353806671214716,0.04583329532810244,3.497645899623415e-05,0.03353806671214716,0.045833295328102444,0.03175554010789909,0.762343863343469
price_value_ratio_x,0.0266642561143324,0.03201589527431532,3.715797988894471e-05,0.0266642561143324,0.03201589527431533,0.02347949215143688,0.7858233554949059
avg_discount_pct_x,0.043103238106787144,0.014438641137802622,5.525108557360095e-07,0.043103238106787144,0.014438641137802624,0.023016862200007055,0.808840217694913
Home_spend,0.0022960390065218145,0.003530688791396916,0.07154002830073072,0.0022960390065218145,0.0035306887913969165,0.016638696779313636,0.8254789144742266
discount_usage,0.03707866312386774,0.003732461520133554,3.497646451492866e-05,0.03707866312386774,0.0037324615201335546,0.016331445150503505,0.8418103596247302
total_discount_amount_y,0.01270088216334212,0.013096321522068088,0.02228229183103394,0.01270088216334212,0.01309632152206809,0.014775339840370872,0.856585699465101
