customer_id,interaction_date,interaction_type,duration_seconds
CUST_000000,2024-01-21,Click-Through,37
CUST_000000,2023-07-20,App Visit,189
CUST_000000,2023-06-21,Support Call,0
CUST_000000,2025-07-25,Email Open,0
CUST_000000,2023-09-22,Email Open,0
CUST_000000,2025-07-25,Social Media,0
CUST_000001,2025-03-12,Email Open,0
CUST_000001,2023-10-03,Email Open,0
CUST_000001,2023-04-23,Email Open,0
CUST_000001,2023-12-21,Click-Through,568
CUST_000001,2024-04-12,Email Open,0
CUST_000001,2024-09-19,Email Open,0
CUST_000001,2024-01-01,App Visit,256
CUST_000001,2024-07-28,Support Call,0
CUST_000001,2024-07-31,Support Call,0
CUST_000002,2024-11-25,Email Open,0
CUST_000002,2023-08-05,App Visit,43
CUST_000002,2025-01-17,Click-Through,67
CUST_000002,2025-09-14,Social Media,0
CUST_000002,2023-03-12,Email Open,0
CUST_000002,2024-07-01,Click-Through,512
CUST_000002,2023-03-11,Email Open,0
CUST_000003,2023-04-19,Click-Through,502
CUST_000003,2023-04-24,Social Media,0
CUST_000003,2025-08-06,Click-Through,296
CUST_000003,2025-05-24,App Visit,597
CUST_000004,2025-03-05,Email Open,0
CUST_000004,2023-06-15,Support Call,0
CUST_000004,2023-08-20,Email Open,0
CUST_000004,2023-09-03,Email Open,0
CUST_000004,2025-01-13,Email Open,0
CUST_000004,2025-07-30,Email Open,0
CUST_000004,2024-09-01,Support Call,0
CUST_000005,2025-10-08,Social Media,0
CUST_000005,2024-11-20,Support Call,0
CUST_000005,2023-02-07,Social Media,0
CUST_000005,2024-03-27,Support Call,0
CUST_000005,2024-08-05,Click-Through,594
CUST_000005,2023-10-12,Social Media,0
CUST_000005,2023-10-05,Social Media,0
CUST_000005,2024-03-12,Social Media,0
CUST_000005,2024-06-25,App Visit,508
CUST_000006,2024-07-22,Support Call,0
CUST_000006,2023-05-20,App Visit,581
CUST_000006,2023-12-20,Click-Through,190
CUST_000006,2024-07-15,Social Media,0
CUST_000006,2025-08-15,Click-Through,329
CUST_000006,2023-03-04,Email Open,0
