customer_id,age,gender,segment,channel,region,loyalty_tendency,price_sensitivity,promotion_responsiveness
CUST_000000,56,Female,High Net Worth,Online,East,0.40725847818088706,0.33114245140114085,0.6374857286192506
CUST_000001,69,Male,Senior,Online,North,0.7031745516033406,0.9200092164552484,0.9399142854532827
CUST_000002,46,Female,Senior,Store,Central,0.5203374445674649,0.29655499919735395,0.4733691945728094
CUST_000003,32,Male,High Net Worth,Store,East,0.17209251620965302,0.3739237947029612,0.6660063226994886
CUST_000004,60,Male,Student,Online,East,0.2904109832941283,0.15999889561214004,0.44532330716044344
CUST_000005,25,Female,Young Professional,Hybrid,North,0.557115456904987,0.3618485575991256,0.9097812125447142
CUST_000006,38,Female,Senior,Online,Central,0.5037657512462608,0.611205739202266,0.5277620876934614
CUST_000007,56,Female,Senior,Store,West,0.39194828305873863,0.7867572177039411,0.6115696216618407
CUST_000008,36,Female,Family,Store,Central,0.5129189862442906,0.5721340816288807,0.713013181780703
CUST_000009,40,Other,Student,Hybrid,South,0.324469764121065,0.08104673210248536,0.6827144177751686
CUST_000010,28,Female,High Net Worth,Store,West,0.26888486768721137,0.1608901791556643,0.3980636786563229
CUST_000011,28,Male,High Net Worth,Hybrid,East,0.5765737251334517,0.08580144442577511,0.6513919545010991
CUST_000012,41,Female,Family,Online,West,0.016698860364880535,0.2001088105028608,0.20218396004869815
CUST_000013,70,Male,Young Professional,Hybrid,East,0.3684777589251536,0.23300817341082714,0.8720640383177507
CUST_000014,53,Male,High Net Worth,Online,East,0.5417050420062127,0.22283223328420015,0.9496882038282237
CUST_000015,57,Male,Student,Hybrid,West,0.8401386759350017,0.5060840384894199,0.5664026693632754
CUST_000016,41,Male,Young Professional,Store,East,0.45685339722281393,0.15443717689204847,0.8844273660019865
CUST_000017,20,Other,High Net Worth,Hybrid,East,0.8490969581800873,0.5126679312485971,0.8236242558333113
CUST_000018,39,Female,High Net Worth,Store,South,0.28949014022412883,0.5617648916587262,0.6765382013568658
CUST_000019,70,Female,Family,Store,Central,0.6819118597889053,0.31393341666372326,0.7889693180897402
CUST_000020,19,Male,Senior,Store,Central,0.4679785330082866,0.6737266736646161,0.2691122450512037
CUST_000021,41,Male,Family,Store,South,0.2374291344783716,0.5714781949326763,0.4370767742562544
CUST_000022,61,Male,Young Professional,Online,West,0.32397085931827824,0.2329633068365972,0.7546955489599789
CUST_000023,47,Male,Family,Online,North,0.6917594436451487,0.45575844372043905,0.2767649463492652
CUST_000024,55,Female,Student,Online,North,0.6723896048474984,0.29795606102927125,0.44036894767673557
CUST_000025,19,Female,Young Professional,Online,North,0.7070298950457968,0.5676999624743375,0.45394211704633414
CUST_000026,38,Female,Family,Hybrid,South,0.45756507965753934,0.5311186411322782,0.7644012115381643
CUST_000027,50,Male,Family,Online,South,0.3748987120830798,0.4820242973820013,0.8028848164506335
