customer_id,period,period_end_date,loyalty_score,purchase_count_quarter,spend_quarter,nps_quarter,trend_direction
CUST_000000,Q1_2023,2023-03-31,54.0,0,0.0,0.0,up
CUST_000000,Q2_2023,2023-06-30,57.3,2,216.29000000000002,0.5,up
CUST_000000,Q3_2023,2023-09-30,59.1,1,88.94,0.0,up
CUST_000000,Q4_2023,2023-12-31,68.9,2,170.34,0.5,up
CUST_000000,Q1_2024,2024-03-31,67.1,4,242.45999999999998,0.5,up
CUST_000000,Q2_2024,2024-06-30,65.1,2,751.56,0.0,up
CUST_000000,Q3_2024,2024-09-30,69.6,5,344.24,0.4,up
CUST_000000,Q4_2024,2024-12-31,70.8,1,301.5,0.0,up
CUST_000000,Q1_2025,2025-03-31,67.7,0,0.0,0.0,up
CUST_000000,Q2_2025,2025-06-30,73.4,2,239.26999999999998,0.5,up
CUST_000000,Q3_2025,2025-09-30,68.3,3,598.21,0.3333333333333333,up
CUST_000000,Q4_2025,2025-12-31,77.3,1,18.87,1.0,up
CUST_000001,Q1_2023,2023-03-31,67.6,3,224.52,0.0,up
CUST_000001,Q2_2023,2023-06-30,73.2,4,392.72,0.25,up
CUST_000001,Q3_2023,2023-09-30,72.5,1,28.06,0.0,up
CUST_000001,Q4_2023,2023-12-31,76.4,4,478.77,0.5,up
CUST_000001,Q1_2024,2024-03-31,67.1,3,196.92,0.6666666666666666,up
CUST_000001,Q2_2024,2024-06-30,80.0,3,291.90999999999997,0.3333333333333333,up
CUST_000001,Q3_2024,2024-09-30,77.4,4,400.59,0.25,up
CUST_000001,Q4_2024,2024-12-31,86.8,3,330.81,0.6666666666666666,up
CUST_000001,Q1_2025,2025-03-31,91.7,1,153.88,1.0,up
CUST_000001,Q2_2025,2025-06-30,83.3,3,860.3199999999999,0.0,up
CUST_000001,Q3_2025,2025-09-30,85.7,4,1265.79,0.0,up
CUST_000001,Q4_2025,2025-12-31,84.7,2,247.13000000000002,1.0,up
CUST_000002,Q1_2023,2023-03-31,52.7,2,49.62,0.5,stable
CUST_000002,Q2_2023,2023-06-30,66.1,4,144.91,0.25,stable
CUST_000002,Q3_2023,2023-09-30,69.4,2,63.03,0.5,stable
CUST_000002,Q4_2023,2023-12-31,64.3,2,323.69,0.0,stable
CUST_000002,Q1_2024,2024-03-31,55.7,2,139.69,0.0,stable
CUST_000002,Q2_2024,2024-06-30,50.5,0,0.0,0.0,stable
CUST_000002,Q3_2024,2024-09-30,58.5,0,0.0,0.0,stable
CUST_000002,Q4_2024,2024-12-31,59.2,1,145.19,0.0,stable
CUST_000002,Q1_2025,2025-03-31,66.7,4,554.4,0.25,stable
CUST_000002,Q2_2025,2025-06-30,67.8,3,369.61,0.0,stable
CUST_000002,Q3_2025,2025-09-30,62.7,2,433.13,0.0,stable
CUST_000002,Q4_2025,2025-12-31,56.1,2,92.18,0.0,stable
CUST_000003,Q1_2023,2023-03-31,47.7,1,97.03,0.0,stable
CUST_000003,Q2_2023,2023-06-30,54.8,4,511.68999999999994,0.5,stable
CUST_000003,Q3_2023,2023-09-30,46.7,1,9.7,1.0,stable
CUST_000003,Q4_2023,2023-12-31,53.9,1,28.46,0.0,stable
CUST_000003,Q1_2024,2024-03-31,45.9,2,159.53,0.0,stable
CUST_000003,Q2_2024,2024-06-30,49.4,0,0.0,0.0,stable
CUST_000003,Q3_2024,2024-09-30,40.3,1,128.8,1.0,stable
CUST_000003,Q4_2024,2024-12-31,50.4,3,281.03,0.6666666666666666,stable
CUST_000003,Q1_2025,2025-03-31,48.1,3,160.59,1.0,stable
CUST_000003,Q2_2025,2025-06-30,45.3,1,195.07,0.0,stable
CUST_000003,Q3_2025,2025-09-30,53.4,1,203.97,0.0,stable
CUST_000003,Q4_2025,2025-12-31,50.9,3,802.8100000000001,0.3333333333333333,stable
CUST_000004,Q1_2023,2023-03-31,50.1,1,31.79,1.0,stable
CUST_000004,Q2_2023,2023-06-30,46.0,0,0.0,0.0,stable
CUST_000004,Q3_2023,2023-09-30,50.0,0,0.0,0.0,stable
CUST_000004,Q4_2023,2023-12-31,52.6,0,0.0,0.0,stable
CUST_000004,Q1_2024,2024-03-31,65.8,1,388.2,0.0,stable
CUST_000004,Q2_2024,2024-06-30,48.5,1,77.91,0.0,stable
CUST_000004,Q3_2024,2024-09-30,51.3,1,182.6,0.0,stable
CUST_000004,Q4_2024,2024-12-31,58.9,2,535.15,0.0,stable
CUST_000004,Q1_2025,2025-03-31,60.3,3,239.25000000000003,0.0,stable
CUST_000004,Q2_2025,2025-06-30,46.8,1,80.63,0.0,stable
CUST_000004,Q3_2025,2025-09-30,52.5,0,0.0,0.0,stable
CUST_000004,Q4_2025,2025-12-31,50.7,1,230.86,0.0,stable
CUST_000005,Q1_2023,2023-03-31,53.3,1,121.99,0.0,up
CUST_000005,Q2_2023,2023-06-30,60.8,1,189.52,0.0,up
CUST_000005,Q3_2023,2023-09-30,70.5,2,462.33000000000004,0.5,up
CUST_000005,Q4_2023,2023-12-31,69.9,4,471.16,0.5,up
CUST_000005,Q1_2024,2024-03-31,69.4,4,338.25,0.75,up
CUST_000005,Q2_2024,2024-06-30,67.8,4,371.92999999999995,0.75,up
CUST_000005,Q3_2024,2024-09-30,70.0,1,21.23,1.0,up
CUST_000005,Q4_2024,2024-12-31,76.6,2,91.68,0.5,up
CUST_000005,Q1_2025,2025-03-31,61.9,1,18.18,1.0,up
CUST_000005,Q2_2025,2025-06-30,67.5,3,680.81,0.3333333333333333,up
CUST_000005,Q3_2025,2025-09-30,80.9,3,165.67,0.3333333333333333,up
CUST_000005,Q4_2025,2025-12-31,64.7,1,44.32,1.0,up
CUST_000006,Q1_2023,2023-03-31,56.1,3,289.33000000000004,0.3333333333333333,up
CUST_000006,Q2_2023,2023-06-30,59.8,1,30.9,1.0,up
CUST_000006,Q3_2023,2023-09-30,70.0,0,0.0,0.0,up
CUST_000006,Q4_2023,2023-12-31,61.6,1,201.75,0.0,up
CUST_000006,Q1_2024,2024-03-31,84.9,0,0.0,0.0,up
CUST_000006,Q2_2024,2024-06-30,78.5,2,100.18,0.0,up
CUST_000006,Q3_2024,2024-09-30,77.1,1,59.4,0.0,up
CUST_000006,Q4_2024,2024-12-31,87.4,3,746.22,0.3333333333333333,up
CUST_000006,Q1_2025,2025-03-31,88.9,3,333.01,0.3333333333333333,up
CUST_000006,Q2_2025,2025-06-30,91.2,1,36.3,0.0,up
CUST_000006,Q3_2025,2025-09-30,88.9,4,438.3,0.75,up
CUST_000006,Q4_2025,2025-12-31,85.0,4,472.31,0.5,up
CUST_000007,Q1_2023,2023-03-31,62.1,2,215.37,0.5,up
CUST_000007,Q2_2023,2023-06-30,55.4,2,164.46,0.0,up
CUST_000007,Q3_2023,2023-09-30,66.3,2,264.73,0.5,up
CUST_000007,Q4_2023,2023-12-31,62.6,4,937.8199999999999,0.0,up
CUST_000007,Q1_2024,2024-03-31,72.1,1,121.25,1.0,up
CUST_000007,Q2_2024,2024-06-30,66.9,0,0.0,0.0,up
CUST_000007,Q3_2024,2024-09-30,65.6,4,579.6700000000001,0.0,up
CUST_000007,Q4_2024,2024-12-31,67.9,1,37.05,1.0,up
CUST_000007,Q1_2025,2025-03-31,73.0,3,171.82000000000002,0.0,up
CUST_000007,Q2_2025,2025-06-30,84.4,2,77.74000000000001,0.5,up
CUST_000007,Q3_2025,2025-09-30,79.5,1,17.62,1.0,up
CUST_000007,Q4_2025,2025-12-31,80.6,2,444.17999999999995,0.0,up
CUST_000008,Q1_2023,2023-03-31,74.8,2,205.51,0.5,up
CUST_000008,Q2_2023,2023-06-30,62.2,1,43.63,0.0,up
CUST_000008,Q3_2023,2023-09-30,60.6,1,66.4,0.0,up
CUST_000008,Q4_2023,2023-12-31,79.7,1,20.34,0.0,up
CUST_000008,Q1_2024,2024-03-31,68.5,4,144.11,0.5,up
CUST_000008,Q2_2024,2024-06-30,67.3,1,24.49,1.0,up
CUST_000008,Q3_2024,2024-09-30,82.4,3,242.0,0.0,up
CUST_000008,Q4_2024,2024-12-31,73.8,1,25.37,0.0,up
CUST_000008,Q1_2025,2025-03-31,79.9,3,116.49000000000001,0.6666666666666666,up
CUST_000008,Q2_2025,2025-06-30,84.1,2,84.78,0.5,up
CUST_000008,Q3_2025,2025-09-30,83.0,0,0.0,0.0,up
CUST_000008,Q4_2025,2025-12-31,87.3,3,570.65,0.3333333333333333,up
CUST_000009,Q1_2023,2023-03-31,56.5,1,63.83,0.0,up
CUST_000009,Q2_2023,2023-06-30,52.9,0,0.0,0.0,up
CUST_000009,Q3_2023,2023-09-30,51.8,4,755.87,0.5,up
CUST_000009,Q4_2023,2023-12-31,54.8,2,58.68,1.0,up
CUST_000009,Q1_2024,2024-03-31,62.1,2,297.35,1.0,up
CUST_000009,Q2_2024,2024-06-30,53.5,0,0.0,0.0,up
CUST_000009,Q3_2024,2024-09-30,62.2,2,216.17,0.0,up
CUST_000009,Q4_2024,2024-12-31,59.5,3,430.19,0.3333333333333333,up
CUST_000009,Q1_2025,2025-03-31,56.3,2,478.43,0.0,up
CUST_000009,Q2_2025,2025-06-30,55.2,1,92.25,0.0,up
CUST_000009,Q3_2025,2025-09-30,59.3,1,339.28,1.0,up
CUST_000009,Q4_2025,2025-12-31,68.0,3,173.54999999999998,0.3333333333333333,up
CUST_000010,Q1_2023,2023-03-31,50.2,1,105.61,0.0,stable
CUST_000010,Q2_2023,2023-06-30,55.2,1,142.03,0.0,stable
CUST_000010,Q3_2023,2023-09-30,47.9,1,26.77,0.0,stable
CUST_000010,Q4_2023,2023-12-31,59.1,2,44.08,0.5,stable
CUST_000010,Q1_2024,2024-03-31,56.1,0,0.0,0.0,stable
CUST_000010,Q2_2024,2024-06-30,47.2,1,51.23,1.0,stable
CUST_000010,Q3_2024,2024-09-30,51.8,3,490.84000000000003,0.3333333333333333,stable
CUST_000010,Q4_2024,2024-12-31,56.7,0,0.0,0.0,stable
CUST_000010,Q1_2025,2025-03-31,48.8,0,0.0,0.0,stable
CUST_000010,Q2_2025,2025-06-30,51.9,2,107.71000000000001,0.5,stable
CUST_000010,Q3_2025,2025-09-30,56.0,1,112.05,0.0,stable
CUST_000010,Q4_2025,2025-12-31,59.8,3,287.24,0.3333333333333333,stable
CUST_000011,Q1_2023,2023-03-31,67.3,2,300.85,0.0,up
CUST_000011,Q2_2023,2023-06-30,65.0,1,180.99,0.0,up
CUST_000011,Q3_2023,2023-09-30,63.6,2,191.44,0.0,up
CUST_000011,Q4_2023,2023-12-31,60.4,3,842.13,0.0,up
CUST_000011,Q1_2024,2024-03-31,65.9,3,232.14999999999998,0.3333333333333333,up
CUST_000011,Q2_2024,2024-06-30,65.7,1,103.64,0.0,up
CUST_000011,Q3_2024,2024-09-30,71.4,1,173.07,0.0,up
CUST_000011,Q4_2024,2024-12-31,69.3,4,348.12,0.5,up
CUST_000011,Q1_2025,2025-03-31,70.5,3,332.29,0.6666666666666666,up
CUST_000011,Q2_2025,2025-06-30,78.0,3,206.18,0.3333333333333333,up
CUST_000011,Q3_2025,2025-09-30,71.1,1,30.85,1.0,up
CUST_000011,Q4_2025,2025-12-31,70.3,4,323.46,0.25,up
CUST_000012,Q1_2023,2023-03-31,34.8,0,0.0,0.0,down
CUST_000012,Q2_2023,2023-06-30,37.9,3,200.32999999999998,0.3333333333333333,down
CUST_000012,Q3_2023,2023-09-30,53.1,2,537.94,0.0,down
CUST_000012,Q4_2023,2023-12-31,35.3,0,0.0,0.0,down
CUST_000012,Q1_2024,2024-03-31,37.0,0,0.0,0.0,down
CUST_000012,Q2_2024,2024-06-30,43.8,0,0.0,0.0,down
CUST_000012,Q3_2024,2024-09-30,27.6,0,0.0,0.0,down
CUST_000012,Q4_2024,2024-12-31,33.7,1,49.48,0.0,down
CUST_000012,Q1_2025,2025-03-31,36.5,2,434.53000000000003,0.0,down
CUST_000012,Q2_2025,2025-06-30,31.3,2,156.72,0.0,down
CUST_000012,Q3_2025,2025-09-30,25.0,0,0.0,0.0,down
CUST_000012,Q4_2025,2025-12-31,30.6,4,815.62,0.25,down
CUST_000013,Q1_2023,2023-03-31,50.8,1,139.54,0.0,down
CUST_000013,Q2_2023,2023-06-30,56.5,1,60.94,1.0,down
CUST_000013,Q3_2023,2023-09-30,58.6,2,409.40999999999997,0.0,down
CUST_000013,Q4_2023,2023-12-31,54.2,1,138.26,1.0,down
CUST_000013,Q1_2024,2024-03-31,52.7,3,188.52,0.6666666666666666,down
